ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-10,0.04736458224990064,41844856242,0,0.0,0.0,0.0,0.04736458224990064,,0.0
2025-02-17,0.06520671365511227,41844856242,0,0.0,0.0,0.0,0.06520671365511227,,0.0
2025-02-24,0.051184362595513185,41844856242,0,0.0,0.0,0.0,0.051184362595513185,,0.0
2025-02-03,14.294236646115081,41859075396,9,0.0,0.0,0.0,5.294236646115081,0.5882485162350091,0.0
2025-02-10,15.00605830318699,41859075396,12,0.0,0.0,0.0,3.0060583031869896,0.2505048585989158,0.0
2025-02-17,15.577764818590692,41859075396,7,0.0,0.0,0.0,8.577764818590692,1.2253949740843846,0.0
2025-02-24,15.766256317622549,41859075396,10,0.0,0.0,0.0,5.766256317622549,0.5766256317622549,0.0
2025-02-03,0.7718025671783253,41911704936,3,0.0,0.0,0.0,2.2281974328216747,0.7427324776072249,0.0
2025-02-10,0.5583914482102129,41911704936,0,0.0,0.0,0.0,0.5583914482102129,,0.0
2025-02-17,0.5230578283895546,41911704936,0,0.0,0.0,0.0,0.5230578283895546,,0.0
2025-02-24,0.669122680839112,41911704936,0,0.0,0.0,0.0,0.669122680839112,,0.0
2025-02-03,0.029909038058526714,41931934851,0,0.0,0.0,0.0,0.029909038058526714,,0.0
2025-02-10,0.0071698674874603255,41931934851,0,0.0,0.0,0.0,0.0071698674874603255,,0.0
2025-02-17,0.00985706436179086,41931934851,0,0.0,0.0,0.0,0.00985706436179086,,0.0
2025-02-24,0.04072331950356888,41931934851,0,0.0,0.0,0.0,0.04072331950356888,,0.0
2025-02-03,0.4820402963184262,47035596434,0,0.0,0.0,0.0,0.4820402963184262,,0.0
2025-02-10,0.2610061341525519,47035596434,3,0.0,0.0,0.0,2.738993865847448,0.9129979552824827,0.0
2025-02-17,0.06896107227429242,47035596434,0,0.0,0.0,0.0,0.06896107227429242,,0.0
2025-02-24,0.0332258422146077,47035596434,0,0.0,0.0,0.0,0.0332258422146077,,0.0
2025-02-03,0.003155560385555041,47035596938,3,0.0,0.0,0.0,2.996844439614445,0.9989481465381483,0.0
2025-02-10,0.037158465287763086,47035596938,0,0.0,0.0,0.0,0.037158465287763086,,0.0
2025-02-17,0.056481410022274844,47035596938,1,0.0,0.0,0.0,0.9435185899777252,0.9435185899777252,0.0
2025-02-24,0.04423238491077726,47035596938,0,0.0,0.0,0.0,0.04423238491077726,,0.0
2025-02-03,0.1603581211558481,47035597416,5,0.0,0.0,0.0,4.8396418788441515,0.9679283757688303,0.0
2025-02-10,0.09052162970564454,47035597416,4,0.0,0.0,0.0,3.9094783702943556,0.9773695925735889,0.0
2025-02-17,0.060999527777255064,47035597416,4,0.0,0.0,0.0,3.939000472222745,0.9847501180556862,0.0
2025-02-24,0.06859380714521798,47035597416,2,0.0,0.0,0.0,1.931406192854782,0.965703096427391,0.0
2025-02-03,0.22262326106973326,47035597915,0,0.0,0.0,0.0,0.22262326106973326,,0.0
2025-02-10,0.10080127770771816,47035597915,1,0.0,0.0,0.0,0.8991987222922818,0.8991987222922818,0.0
2025-02-17,0.07046074065596238,47035597915,0,0.0,0.0,0.0,0.07046074065596238,,0.0
2025-02-24,0.10810180524020227,47035597915,0,0.0,0.0,0.0,0.10810180524020227,,0.0
2025-02-03,0.5650704571356433,47035598475,5,0.0,0.0,0.0,4.4349295428643565,0.8869859085728713,0.0
2025-02-10,0.29357074513910064,47035598475,0,0.0,0.0,0.0,0.29357074513910064,,0.0
2025-02-17,0.10167861569998751,47035598475,3,0.0,0.0,0.0,2.8983213843000124,0.9661071281000041,0.0
2025-02-24,0.09721162875381215,47035598475,1,0.0,0.0,0.0,0.9027883712461878,0.9027883712461878,0.0
2025-02-03,0.6527250713502801,47035598960,5,0.0,0.0,0.0,4.347274928649719,0.8694549857299438,0.0
2025-02-10,0.25195376818496334,47035598960,1,0.0,0.0,0.0,0.7480462318150367,0.7480462318150367,0.0
2025-02-17,0.12216929999588977,47035598960,1,0.0,0.0,0.0,0.8778307000041102,0.8778307000041102,0.0
2025-02-24,0.2478908901871711,47035598960,0,0.0,0.0,0.0,0.2478908901871711,,0.0
2025-02-03,1.8380062206602577,47035599495,9,29397.0,3266.3333333333335,6003.540985416622,7.161993779339742,0.7957770865933047,210541.13113125038
2025-02-10,1.0102117263665344,47035599495,7,0.0,0.0,0.0,5.989788273633465,0.8556840390904951,0.0
2025-02-17,0.37552514296330997,47035599495,2,0.0,0.0,0.0,1.62447485703669,0.812237428518345,0.0
2025-02-24,0.32004164270906327,47035599495,1,0.0,0.0,0.0,0.6799583572909367,0.6799583572909367,0.0
2025-02-03,2.364680385819839,47035599949,7,0.0,0.0,0.0,4.635319614180161,0.6621885163114516,0.0
2025-02-10,1.2615894244634633,47035599949,13,0.0,0.0,0.0,11.738410575536538,0.9029546596566568,0.0
2025-02-17,0.6534543727754749,47035599949,5,0.0,0.0,0.0,4.3465456272245255,0.8693091254449051,0.0
2025-02-24,0.760099509462071,47035599949,15,0.0,0.0,0.0,14.239900490537929,0.9493266993691952,0.0
2025-02-03,0.6278417941553909,47035600918,1,0.0,0.0,0.0,0.3721582058446091,0.3721582058446091,0.0
2025-02-10,0.4058456896660033,47035600918,3,0.0,0.0,0.0,2.594154310333997,0.8647181034446656,0.0
2025-02-17,0.27444889354918733,47035600918,0,0.0,0.0,0.0,0.27444889354918733,,0.0
2025-02-24,0.2789445991050293,47035600918,0,0.0,0.0,0.0,0.2789445991050293,,0.0
2025-02-03,1.3196061884506372,47035601421,7,0.0,0.0,0.0,5.680393811549363,0.8114848302213377,0.0
2025-02-10,0.7875977928567308,47035601421,5,0.0,0.0,0.0,4.212402207143269,0.8424804414286537,0.0
2025-02-17,0.7584171209845196,47035601421,7,0.0,0.0,0.0,6.24158287901548,0.8916546970022114,0.0
2025-02-24,0.9609857603870997,47035601421,1,0.0,0.0,0.0,0.03901423961290029,0.03901423961290029,0.0
2025-02-03,1.0528843634363414,47035601997,2,0.0,0.0,0.0,0.9471156365636586,0.4735578182818293,0.0
2025-02-10,0.586960535359192,47035601997,1,0.0,0.0,0.0,0.413039464640808,0.413039464640808,0.0
2025-02-17,0.4087884037041538,47035601997,0,0.0,0.0,0.0,0.4087884037041538,,0.0
2025-02-24,0.5086195557822698,47035601997,1,0.0,0.0,0.0,0.4913804442177302,0.4913804442177302,0.0
2025-02-03,0.7448786535802919,4203509252,0,0.0,0.0,0.0,0.7448786535802919,,0.0
2025-02-10,0.668473793402452,4203509252,0,0.0,0.0,0.0,0.668473793402452,,0.0
2025-02-17,0.552509084165165,4203509252,0,0.0,0.0,0.0,0.552509084165165,,0.0
2025-02-24,0.5411173800805587,4203509252,0,0.0,0.0,0.0,0.5411173800805587,,0.0
2025-02-03,0.46922104162025313,42041590570,1,2886.0,2886.0,1354.1719261160506,0.5307789583797469,0.5307789583797469,1531.8280738839494
2025-02-10,0.43549129184355817,42041590570,4,2886.0,721.5,314.20696706512723,3.564508708156442,0.8911271770391105,10287.172131739491
2025-02-17,0.46889806757061814,42041590570,0,2886.0,0.0,0.0,0.46889806757061814,,1353.239823008804
2025-02-24,0.5669396569298811,42041590570,1,0.0,0.0,0.0,0.43306034307011887,0.43306034307011887,0.0
2025-02-03,0.4235844098560493,43904595253,0,0.0,0.0,0.0,0.4235844098560493,,0.0
2025-02-10,0.49043260339987826,43904595253,1,0.0,0.0,0.0,0.5095673966001217,0.5095673966001217,0.0
2025-02-17,0.5766931759346119,43904595253,0,2097.0,0.0,0.0,0.5766931759346119,,1209.3255899348812
2025-02-24,0.6046796204201679,43904595253,3,4194.0,1398.0,845.3421093473947,2.3953203795798323,0.7984401265266108,10045.973671957818
2025-02-03,0.4101864445555728,43904694832,0,0.0,0.0,0.0,0.4101864445555728,,0.0
2025-02-10,0.40382001698195924,43904694832,3,0.0,0.0,0.0,2.5961799830180405,0.8653933276726802,0.0
2025-02-17,0.5130727904187964,43904694832,5,10485.0,2097.0,1075.913641508216,4.486927209581204,0.8973854419162407,47045.43179245892
2025-02-24,0.6264501160947779,43904694832,8,4089.0,511.125,320.1943155889433,7.3735498839052225,0.9216937354881528,30150.445475288456
2025-02-03,0.12009948613461491,4391268112,0,0.0,0.0,0.0,0.12009948613461491,,0.0
2025-02-10,0.13925549763463146,4391268112,1,0.0,0.0,0.0,0.8607445023653686,0.8607445023653686,0.0
